1,sets,1,1,NULL
2,relations and functions,1,1,1
3,trignometric functions,2,3,"1,2"
4,principle of matheatical induction,1,1,9
5,complex number and quadratic equations,4,5,NULL
6,linear inequalities,2,2,NULL
7,permutation and combination,4,4,NULL
8,binomial theorem,4,4,7
9,sequence and series,4,3,NULL
10,straight lines,4,4,NULL
11,circles,4,5,10
12,conic sections,3,5,"10,11"
13,intro to 3d geometry,2,1,NULL
14,mathematical reasoning,3,1,NULL
15,statistics,3,5,NULL
16,relations and functions class 12,2,1,"1,2"
17,inverse trignometric functions,2,2,"1,2,3,16"
18,matrices,5,3,3
19,determinants,4,4,18
20,limits,3,4,3
21,continuity and differentiability,3,3,20
22,application of derivatives,4,3,"20,21"
23,integrals,5,5,"20,21,22"
24,definite integrals,5,4,23
25,application of integrals,5,4,24
26,differential equations,5,4,"23,24"
27,vector algebra,4,2,13
28,three dimensional geometry,5,2,27
29,linear programing,1,1,NULL
30,probability,4,5,7
